WARNING - utils.py - 2021-09-29 18:19:26,669 - No checkpoint found at ./checkpoints-meta/checkpoint.pth. Returned the same state as input
INFO - run_lib.py - 2021-09-29 18:19:30,456 - Starting training loop at step 0.
INFO - run_lib.py - 2021-09-29 18:43:13,329 - step: 800, eval_loss: 5.95135e+03
INFO - run_lib.py - 2021-09-29 18:44:41,691 - step: 850, training_loss: 1.94616e+03
INFO - run_lib.py - 2021-09-29 18:46:09,997 - step: 900, training_loss: 2.00045e+03
INFO - run_lib.py - 2021-09-29 18:46:10,685 - step: 900, eval_loss: 5.55610e+03
INFO - run_lib.py - 2021-09-29 18:47:39,601 - step: 950, training_loss: 6.24932e+02
INFO - run_lib.py - 2021-09-29 18:49:07,725 - step: 1000, training_loss: 2.68746e+03
INFO - run_lib.py - 2021-09-29 18:49:08,374 - step: 1000, eval_loss: 1.72266e+03
INFO - run_lib.py - 2021-09-29 18:50:36,853 - step: 1050, training_loss: 3.09974e+03
INFO - run_lib.py - 2021-09-29 18:52:04,611 - step: 1100, training_loss: 5.61391e+02
INFO - run_lib.py - 2021-09-29 18:52:05,260 - step: 1100, eval_loss: 3.21571e+03
INFO - run_lib.py - 2021-09-29 18:53:33,615 - step: 1150, training_loss: 3.45275e+03
INFO - run_lib.py - 2021-09-29 18:55:01,908 - step: 1200, training_loss: 2.65495e+03
INFO - run_lib.py - 2021-09-29 18:55:02,608 - step: 1200, eval_loss: 2.32829e+03
INFO - run_lib.py - 2021-09-29 18:56:31,968 - step: 1250, training_loss: 2.64615e+03
INFO - run_lib.py - 2021-09-29 18:58:00,484 - step: 1300, training_loss: 3.10628e+03
INFO - run_lib.py - 2021-09-29 18:58:01,260 - step: 1300, eval_loss: 7.03355e+02
INFO - run_lib.py - 2021-09-29 18:59:29,754 - step: 1350, training_loss: 6.85149e+03
INFO - run_lib.py - 2021-09-29 19:00:58,433 - step: 1400, training_loss: 1.80220e+03
INFO - run_lib.py - 2021-09-29 19:00:59,103 - step: 1400, eval_loss: 4.27304e+03
INFO - run_lib.py - 2021-09-29 19:02:28,100 - step: 1450, training_loss: 2.72557e+03
INFO - run_lib.py - 2021-09-29 19:03:56,374 - step: 1500, training_loss: 9.51713e+02
INFO - run_lib.py - 2021-09-29 19:03:57,075 - step: 1500, eval_loss: 3.12151e+03
INFO - run_lib.py - 2021-09-29 19:05:26,827 - step: 1550, training_loss: 3.01110e+03
INFO - run_lib.py - 2021-09-29 19:06:56,243 - step: 1600, training_loss: 2.84177e+03
INFO - run_lib.py - 2021-09-29 19:06:56,991 - step: 1600, eval_loss: 2.12116e+03
INFO - run_lib.py - 2021-09-29 19:08:25,853 - step: 1650, training_loss: 2.96715e+03
INFO - run_lib.py - 2021-09-29 19:09:53,945 - step: 1700, training_loss: 1.62504e+03
INFO - run_lib.py - 2021-09-29 19:09:54,600 - step: 1700, eval_loss: 3.50960e+03
INFO - run_lib.py - 2021-09-29 19:11:23,059 - step: 1750, training_loss: 4.85883e+03
INFO - run_lib.py - 2021-09-29 19:12:51,747 - step: 1800, training_loss: 4.11081e+03
INFO - run_lib.py - 2021-09-29 19:12:52,406 - step: 1800, eval_loss: 1.97728e+03
INFO - run_lib.py - 2021-09-29 19:14:21,157 - step: 1850, training_loss: 3.98455e+03
INFO - run_lib.py - 2021-09-29 19:15:48,780 - step: 1900, training_loss: 3.73561e+03
INFO - run_lib.py - 2021-09-29 19:15:49,542 - step: 1900, eval_loss: 2.06361e+03
INFO - run_lib.py - 2021-09-29 19:17:17,589 - step: 1950, training_loss: 4.09251e+03
INFO - run_lib.py - 2021-09-29 19:18:45,634 - step: 2000, training_loss: 5.16597e+02
INFO - run_lib.py - 2021-09-29 19:18:46,445 - step: 2000, eval_loss: 2.76542e+03
INFO - run_lib.py - 2021-09-29 19:20:13,830 - step: 2050, training_loss: 1.14382e+03
INFO - run_lib.py - 2021-09-29 19:21:42,541 - step: 2100, training_loss: 1.69835e+03
INFO - run_lib.py - 2021-09-29 19:21:43,198 - step: 2100, eval_loss: 4.49248e+03
INFO - run_lib.py - 2021-09-29 19:23:11,380 - step: 2150, training_loss: 5.25381e+03
INFO - run_lib.py - 2021-09-29 19:24:39,568 - step: 2200, training_loss: 3.58276e+03
INFO - run_lib.py - 2021-09-29 19:24:40,210 - step: 2200, eval_loss: 2.78136e+03
INFO - run_lib.py - 2021-09-29 19:26:09,044 - step: 2250, training_loss: 4.62439e+03
INFO - run_lib.py - 2021-09-29 19:27:37,651 - step: 2300, training_loss: 1.26629e+03
INFO - run_lib.py - 2021-09-29 19:27:38,307 - step: 2300, eval_loss: 4.19188e+03
INFO - run_lib.py - 2021-09-29 19:29:07,583 - step: 2350, training_loss: 3.20315e+03
INFO - run_lib.py - 2021-09-29 19:30:36,408 - step: 2400, training_loss: 2.59099e+03
INFO - run_lib.py - 2021-09-29 19:30:37,089 - step: 2400, eval_loss: 1.57798e+03
INFO - run_lib.py - 2021-09-29 19:32:05,754 - step: 2450, training_loss: 3.24490e+03
INFO - run_lib.py - 2021-09-29 19:33:34,120 - step: 2500, training_loss: 1.69079e+02
INFO - run_lib.py - 2021-09-29 19:33:34,798 - step: 2500, eval_loss: 2.32494e+03
INFO - run_lib.py - 2021-09-29 19:35:04,064 - step: 2550, training_loss: 2.53392e+03
INFO - run_lib.py - 2021-09-29 19:36:33,765 - step: 2600, training_loss: 2.40698e+03
INFO - run_lib.py - 2021-09-29 19:36:34,494 - step: 2600, eval_loss: 2.92133e+02
INFO - run_lib.py - 2021-09-29 19:38:04,465 - step: 2650, training_loss: 1.04312e+03
INFO - run_lib.py - 2021-09-29 19:39:33,302 - step: 2700, training_loss: 7.47045e+02
INFO - run_lib.py - 2021-09-29 19:39:33,984 - step: 2700, eval_loss: 3.06926e+03
INFO - run_lib.py - 2021-09-29 19:41:02,432 - step: 2750, training_loss: 1.56895e+03
INFO - run_lib.py - 2021-09-29 19:42:31,224 - step: 2800, training_loss: 3.62916e+03
INFO - run_lib.py - 2021-09-29 19:42:31,873 - step: 2800, eval_loss: 9.89481e+02
INFO - run_lib.py - 2021-09-29 19:44:01,042 - step: 2850, training_loss: 3.09041e+03
INFO - run_lib.py - 2021-09-29 19:45:28,526 - step: 2900, training_loss: 2.39028e+03
INFO - run_lib.py - 2021-09-29 19:45:29,311 - step: 2900, eval_loss: 5.46669e+02
INFO - run_lib.py - 2021-09-29 19:46:57,950 - step: 2950, training_loss: 1.50271e+03
INFO - run_lib.py - 2021-09-29 19:48:27,367 - step: 3000, training_loss: 1.24654e+03
INFO - run_lib.py - 2021-09-29 19:48:28,039 - step: 3000, eval_loss: 2.78799e+03
INFO - run_lib.py - 2021-09-29 19:49:57,151 - step: 3050, training_loss: 3.19821e+03
INFO - run_lib.py - 2021-09-29 19:51:27,139 - step: 3100, training_loss: 3.36667e+03
INFO - run_lib.py - 2021-09-29 19:51:27,840 - step: 3100, eval_loss: 1.64972e+03
INFO - run_lib.py - 2021-09-29 19:52:56,716 - step: 3150, training_loss: 2.87863e+03
INFO - run_lib.py - 2021-09-29 19:54:24,848 - step: 3200, training_loss: 2.71515e+03
INFO - run_lib.py - 2021-09-29 19:54:25,530 - step: 3200, eval_loss: 1.06595e+03
INFO - run_lib.py - 2021-09-29 19:55:53,850 - step: 3250, training_loss: 1.35175e+03
INFO - run_lib.py - 2021-09-29 19:57:22,140 - step: 3300, training_loss: 1.57027e+02
INFO - run_lib.py - 2021-09-29 19:57:22,835 - step: 3300, eval_loss: 3.98124e+03
INFO - run_lib.py - 2021-09-29 19:58:52,426 - step: 3350, training_loss: 3.73241e+03
INFO - run_lib.py - 2021-09-29 20:00:20,694 - step: 3400, training_loss: 6.31200e+02
INFO - run_lib.py - 2021-09-29 20:00:21,355 - step: 3400, eval_loss: 1.78621e+03
INFO - run_lib.py - 2021-09-29 20:01:50,154 - step: 3450, training_loss: 1.53872e+03
INFO - run_lib.py - 2021-09-29 20:03:18,910 - step: 3500, training_loss: 3.68432e+02
INFO - run_lib.py - 2021-09-29 20:03:19,560 - step: 3500, eval_loss: 1.28178e+03
INFO - run_lib.py - 2021-09-29 20:04:47,829 - step: 3550, training_loss: 4.27786e+03
INFO - run_lib.py - 2021-09-29 20:06:16,654 - step: 3600, training_loss: 2.40815e+03
INFO - run_lib.py - 2021-09-29 20:06:17,312 - step: 3600, eval_loss: 2.74967e+03
INFO - run_lib.py - 2021-09-29 20:07:45,013 - step: 3650, training_loss: 1.12345e+03
INFO - run_lib.py - 2021-09-29 20:09:13,666 - step: 3700, training_loss: 1.32222e+03
INFO - run_lib.py - 2021-09-29 20:09:14,338 - step: 3700, eval_loss: 8.87873e+02
INFO - run_lib.py - 2021-09-29 20:10:43,922 - step: 3750, training_loss: 2.74703e+03
INFO - run_lib.py - 2021-09-29 20:12:12,673 - step: 3800, training_loss: 1.57543e+03
INFO - run_lib.py - 2021-09-29 20:12:13,332 - step: 3800, eval_loss: 4.55045e+03
INFO - run_lib.py - 2021-09-29 20:13:42,398 - step: 3850, training_loss: 3.94381e+03
INFO - run_lib.py - 2021-09-29 20:15:10,881 - step: 3900, training_loss: 2.67038e+03
INFO - run_lib.py - 2021-09-29 20:15:11,544 - step: 3900, eval_loss: 2.61627e+03
INFO - run_lib.py - 2021-09-29 20:16:39,179 - step: 3950, training_loss: 1.46788e+03
INFO - run_lib.py - 2021-09-29 20:18:08,135 - step: 4000, training_loss: 2.36730e+03
INFO - run_lib.py - 2021-09-29 20:18:08,788 - step: 4000, eval_loss: 5.70316e+02
INFO - run_lib.py - 2021-09-29 20:19:37,345 - step: 4050, training_loss: 3.00837e+03
INFO - run_lib.py - 2021-09-29 20:21:05,060 - step: 4100, training_loss: 9.79131e+02
INFO - run_lib.py - 2021-09-29 20:21:05,724 - step: 4100, eval_loss: 3.50123e+03
INFO - run_lib.py - 2021-09-29 20:22:34,140 - step: 4150, training_loss: 5.53971e+02
INFO - run_lib.py - 2021-09-29 20:24:02,747 - step: 4200, training_loss: 7.94250e+02
INFO - run_lib.py - 2021-09-29 20:24:03,382 - step: 4200, eval_loss: 2.87842e+03
INFO - run_lib.py - 2021-09-29 20:25:32,714 - step: 4250, training_loss: 4.48973e+03
INFO - run_lib.py - 2021-09-29 20:27:01,000 - step: 4300, training_loss: 1.89175e+02
INFO - run_lib.py - 2021-09-29 20:27:01,662 - step: 4300, eval_loss: 1.00963e+02
INFO - run_lib.py - 2021-09-29 20:28:30,213 - step: 4350, training_loss: 6.82882e+02
INFO - run_lib.py - 2021-09-29 20:29:58,387 - step: 4400, training_loss: 2.94610e+03
INFO - run_lib.py - 2021-09-29 20:29:59,047 - step: 4400, eval_loss: 1.91474e+03
INFO - run_lib.py - 2021-09-29 20:31:27,658 - step: 4450, training_loss: 3.02262e+03
INFO - run_lib.py - 2021-09-29 20:32:56,846 - step: 4500, training_loss: 3.01863e+03
INFO - run_lib.py - 2021-09-29 20:32:57,503 - step: 4500, eval_loss: 2.74112e+03
INFO - run_lib.py - 2021-09-29 20:34:25,725 - step: 4550, training_loss: 2.57335e+02
INFO - run_lib.py - 2021-09-29 20:35:55,372 - step: 4600, training_loss: 2.22852e+02
INFO - run_lib.py - 2021-09-29 20:35:56,077 - step: 4600, eval_loss: 3.03205e+03
INFO - run_lib.py - 2021-09-29 20:37:24,909 - step: 4650, training_loss: 1.73250e+03
INFO - run_lib.py - 2021-09-29 20:38:54,018 - step: 4700, training_loss: 1.47833e+03
INFO - run_lib.py - 2021-09-29 20:38:54,728 - step: 4700, eval_loss: 2.09193e+03
INFO - run_lib.py - 2021-09-29 20:40:20,911 - step: 4750, training_loss: 1.91175e+03
INFO - run_lib.py - 2021-09-29 20:41:40,348 - step: 4800, training_loss: 2.68180e+03
INFO - run_lib.py - 2021-09-29 20:41:40,898 - step: 4800, eval_loss: 1.09549e+03
INFO - run_lib.py - 2021-09-29 20:43:00,197 - step: 4850, training_loss: 1.23105e+03
INFO - run_lib.py - 2021-09-29 20:44:18,314 - step: 4900, training_loss: 3.04440e+03
INFO - run_lib.py - 2021-09-29 20:44:18,858 - step: 4900, eval_loss: 2.12919e+03
INFO - run_lib.py - 2021-09-29 20:45:36,930 - step: 4950, training_loss: 3.19278e+03
INFO - run_lib.py - 2021-09-29 20:46:53,608 - step: 5000, training_loss: 2.52870e+03
INFO - run_lib.py - 2021-09-29 20:47:03,248 - step: 5000, eval_loss: 1.22529e+03
INFO - run_lib.py - 2021-09-29 21:22:22,440 - step: 5050, training_loss: 2.94151e+03
INFO - run_lib.py - 2021-09-29 21:23:40,154 - step: 5100, training_loss: 3.14381e+03
INFO - run_lib.py - 2021-09-29 21:23:40,698 - step: 5100, eval_loss: 1.44787e+03
INFO - run_lib.py - 2021-09-29 21:24:59,817 - step: 5150, training_loss: 1.91996e+02
INFO - run_lib.py - 2021-09-29 21:26:19,562 - step: 5200, training_loss: 4.91638e+02
INFO - run_lib.py - 2021-09-29 21:26:20,121 - step: 5200, eval_loss: 2.81011e+03
INFO - run_lib.py - 2021-09-29 21:27:39,439 - step: 5250, training_loss: 3.74193e+03
INFO - run_lib.py - 2021-09-29 21:28:58,304 - step: 5300, training_loss: 1.68553e+02
INFO - run_lib.py - 2021-09-29 21:28:59,147 - step: 5300, eval_loss: 9.13345e+02
INFO - run_lib.py - 2021-09-29 21:30:17,365 - step: 5350, training_loss: 1.83169e+03
INFO - run_lib.py - 2021-09-29 21:31:35,172 - step: 5400, training_loss: 8.06450e+02
INFO - run_lib.py - 2021-09-29 21:31:35,782 - step: 5400, eval_loss: 1.14372e+03
INFO - run_lib.py - 2021-09-29 21:32:52,690 - step: 5450, training_loss: 2.62424e+03
INFO - run_lib.py - 2021-09-29 21:34:08,945 - step: 5500, training_loss: 1.99244e+03
INFO - run_lib.py - 2021-09-29 21:34:09,503 - step: 5500, eval_loss: 1.64253e+03
INFO - run_lib.py - 2021-09-29 21:35:27,303 - step: 5550, training_loss: 2.11217e+03
INFO - run_lib.py - 2021-09-29 21:36:45,110 - step: 5600, training_loss: 2.60692e+03
INFO - run_lib.py - 2021-09-29 21:36:45,944 - step: 5600, eval_loss: 1.53089e+03
INFO - run_lib.py - 2021-09-29 21:38:04,840 - step: 5650, training_loss: 9.90059e+02
INFO - run_lib.py - 2021-09-29 21:39:22,568 - step: 5700, training_loss: 1.63672e+03
INFO - run_lib.py - 2021-09-29 21:39:23,117 - step: 5700, eval_loss: 1.59311e+03
INFO - run_lib.py - 2021-09-29 21:40:40,620 - step: 5750, training_loss: 1.94642e+03
INFO - run_lib.py - 2021-09-29 21:42:00,582 - step: 5800, training_loss: 1.68528e+03
INFO - run_lib.py - 2021-09-29 21:42:01,155 - step: 5800, eval_loss: 5.36566e+02
INFO - run_lib.py - 2021-09-29 21:43:18,552 - step: 5850, training_loss: 1.45977e+03
INFO - run_lib.py - 2021-09-29 21:44:41,474 - step: 5900, training_loss: 7.73305e+02
INFO - run_lib.py - 2021-09-29 21:44:42,136 - step: 5900, eval_loss: 3.80467e+03
INFO - run_lib.py - 2021-09-29 21:46:14,901 - step: 5950, training_loss: 9.33517e+02
INFO - run_lib.py - 2021-09-29 21:47:45,293 - step: 6000, training_loss: 7.20221e+02
INFO - run_lib.py - 2021-09-29 21:47:45,962 - step: 6000, eval_loss: 1.83508e+03
INFO - run_lib.py - 2021-09-29 21:49:15,490 - step: 6050, training_loss: 2.29862e+03
INFO - run_lib.py - 2021-09-29 21:50:44,303 - step: 6100, training_loss: 1.42297e+03
INFO - run_lib.py - 2021-09-29 21:50:45,082 - step: 6100, eval_loss: 2.16602e+03
INFO - run_lib.py - 2021-09-29 21:52:14,369 - step: 6150, training_loss: 3.87366e+02
INFO - run_lib.py - 2021-09-29 21:53:41,222 - step: 6200, training_loss: 2.01413e+02
INFO - run_lib.py - 2021-09-29 21:53:41,800 - step: 6200, eval_loss: 2.39307e+03
INFO - run_lib.py - 2021-09-29 21:55:01,093 - step: 6250, training_loss: 1.72943e+03
INFO - run_lib.py - 2021-09-29 21:56:19,240 - step: 6300, training_loss: 3.62227e+02
INFO - run_lib.py - 2021-09-29 21:56:19,839 - step: 6300, eval_loss: 2.75336e+03
INFO - run_lib.py - 2021-09-29 21:57:37,116 - step: 6350, training_loss: 1.56698e+03
INFO - run_lib.py - 2021-09-29 21:58:57,372 - step: 6400, training_loss: 3.33026e+03
INFO - run_lib.py - 2021-09-29 21:58:57,916 - step: 6400, eval_loss: 2.20651e+03
INFO - run_lib.py - 2021-09-29 22:00:19,129 - step: 6450, training_loss: 3.83912e+03
INFO - run_lib.py - 2021-09-29 22:01:37,431 - step: 6500, training_loss: 9.70701e+02
INFO - run_lib.py - 2021-09-29 22:01:38,009 - step: 6500, eval_loss: 9.23126e+02
INFO - run_lib.py - 2021-09-29 22:03:05,631 - step: 6550, training_loss: 3.01878e+03
INFO - run_lib.py - 2021-09-29 22:04:33,394 - step: 6600, training_loss: 3.21666e+03
INFO - run_lib.py - 2021-09-29 22:04:34,126 - step: 6600, eval_loss: 1.42638e+03
INFO - run_lib.py - 2021-09-29 22:06:00,026 - step: 6650, training_loss: 3.17308e+02
INFO - run_lib.py - 2021-09-29 22:07:21,113 - step: 6700, training_loss: 4.67259e+03
INFO - run_lib.py - 2021-09-29 22:07:21,678 - step: 6700, eval_loss: 1.48434e+03
INFO - run_lib.py - 2021-09-29 22:08:40,399 - step: 6750, training_loss: 6.30650e+02
INFO - run_lib.py - 2021-09-29 22:09:59,927 - step: 6800, training_loss: 5.09487e+02
INFO - run_lib.py - 2021-09-29 22:10:00,492 - step: 6800, eval_loss: 1.05927e+03
INFO - run_lib.py - 2021-09-29 22:11:17,804 - step: 6850, training_loss: 4.46126e+03
INFO - run_lib.py - 2021-09-29 22:12:35,043 - step: 6900, training_loss: 2.86308e+03
INFO - run_lib.py - 2021-09-29 22:12:35,586 - step: 6900, eval_loss: 1.75642e+03
INFO - run_lib.py - 2021-09-29 22:13:54,452 - step: 6950, training_loss: 2.44448e+03
INFO - run_lib.py - 2021-09-29 22:15:13,059 - step: 7000, training_loss: 1.59448e+03
INFO - run_lib.py - 2021-09-29 22:15:13,660 - step: 7000, eval_loss: 1.56347e+02
INFO - run_lib.py - 2021-09-29 22:16:32,575 - step: 7050, training_loss: 1.89126e+03
INFO - run_lib.py - 2021-09-29 22:17:50,322 - step: 7100, training_loss: 3.58287e+03
INFO - run_lib.py - 2021-09-29 22:17:50,865 - step: 7100, eval_loss: 3.95295e+02
INFO - run_lib.py - 2021-09-29 22:19:07,660 - step: 7150, training_loss: 5.81303e+02
INFO - run_lib.py - 2021-09-29 22:20:26,050 - step: 7200, training_loss: 1.62830e+03
INFO - run_lib.py - 2021-09-29 22:20:26,622 - step: 7200, eval_loss: 1.07987e+03
INFO - run_lib.py - 2021-09-29 22:21:44,622 - step: 7250, training_loss: 2.04250e+03
INFO - run_lib.py - 2021-09-29 22:23:12,273 - step: 7300, training_loss: 3.87079e+03
INFO - run_lib.py - 2021-09-29 22:23:12,993 - step: 7300, eval_loss: 3.33466e+03
INFO - run_lib.py - 2021-09-29 22:24:43,501 - step: 7350, training_loss: 1.79776e+03
INFO - run_lib.py - 2021-09-29 22:26:08,896 - step: 7400, training_loss: 7.40589e+02
INFO - run_lib.py - 2021-09-29 22:26:09,439 - step: 7400, eval_loss: 1.66068e+02
INFO - run_lib.py - 2021-09-29 22:27:26,831 - step: 7450, training_loss: 3.11302e+03
INFO - run_lib.py - 2021-09-29 22:28:44,365 - step: 7500, training_loss: 1.72898e+03
INFO - run_lib.py - 2021-09-29 22:28:44,906 - step: 7500, eval_loss: 1.21421e+03
INFO - run_lib.py - 2021-09-29 22:30:01,837 - step: 7550, training_loss: 2.23117e+03
INFO - run_lib.py - 2021-09-29 22:31:19,533 - step: 7600, training_loss: 1.64445e+03
INFO - run_lib.py - 2021-09-29 22:31:20,090 - step: 7600, eval_loss: 6.90148e+02
INFO - run_lib.py - 2021-09-29 22:32:39,556 - step: 7650, training_loss: 1.63450e+03
INFO - run_lib.py - 2021-09-29 22:33:58,526 - step: 7700, training_loss: 2.95222e+03
INFO - run_lib.py - 2021-09-29 22:33:59,070 - step: 7700, eval_loss: 8.66914e+02
INFO - run_lib.py - 2021-09-29 22:35:20,631 - step: 7750, training_loss: 8.55791e+02
INFO - run_lib.py - 2021-09-29 22:36:41,398 - step: 7800, training_loss: 4.36954e+02
INFO - run_lib.py - 2021-09-29 22:36:42,062 - step: 7800, eval_loss: 2.09713e+03
INFO - run_lib.py - 2021-09-29 22:38:01,431 - step: 7850, training_loss: 2.50136e+03
INFO - run_lib.py - 2021-09-29 22:39:18,444 - step: 7900, training_loss: 8.70103e+02
INFO - run_lib.py - 2021-09-29 22:39:18,993 - step: 7900, eval_loss: 4.83080e+02
INFO - run_lib.py - 2021-09-29 22:40:36,740 - step: 7950, training_loss: 1.94631e+03
INFO - run_lib.py - 2021-09-29 22:41:55,613 - step: 8000, training_loss: 2.33271e+03
INFO - run_lib.py - 2021-09-29 22:41:56,474 - step: 8000, eval_loss: 1.65643e+03
INFO - run_lib.py - 2021-09-29 22:43:14,390 - step: 8050, training_loss: 1.26407e+03
INFO - run_lib.py - 2021-09-29 22:44:43,111 - step: 8100, training_loss: 1.29027e+03
INFO - run_lib.py - 2021-09-29 22:44:43,782 - step: 8100, eval_loss: 1.80635e+03
INFO - run_lib.py - 2021-09-29 22:46:17,451 - step: 8150, training_loss: 3.60660e+02
INFO - run_lib.py - 2021-09-29 22:48:07,107 - step: 8200, training_loss: 1.60539e+03
INFO - run_lib.py - 2021-09-29 22:48:08,317 - step: 8200, eval_loss: 1.45215e+03
INFO - run_lib.py - 2021-09-29 22:50:28,355 - step: 8250, training_loss: 2.88831e+03
INFO - run_lib.py - 2021-09-29 22:53:00,893 - step: 8300, training_loss: 2.69092e+03
INFO - run_lib.py - 2021-09-29 22:53:01,978 - step: 8300, eval_loss: 2.09935e+03
INFO - run_lib.py - 2021-09-29 22:55:28,848 - step: 8350, training_loss: 3.31710e+03
INFO - run_lib.py - 2021-09-29 22:57:54,942 - step: 8400, training_loss: 3.31847e+03
INFO - run_lib.py - 2021-09-29 22:57:56,512 - step: 8400, eval_loss: 1.44688e+03
INFO - run_lib.py - 2021-09-29 23:00:17,797 - step: 8450, training_loss: 9.94504e+01
INFO - run_lib.py - 2021-09-29 23:02:36,640 - step: 8500, training_loss: 4.51129e+03
INFO - run_lib.py - 2021-09-29 23:02:37,959 - step: 8500, eval_loss: 1.71227e+03
INFO - run_lib.py - 2021-09-29 23:04:30,450 - step: 8550, training_loss: 1.42824e+03
INFO - run_lib.py - 2021-09-29 23:05:48,957 - step: 8600, training_loss: 2.58303e+03
INFO - run_lib.py - 2021-09-29 23:05:49,506 - step: 8600, eval_loss: 6.43833e+02
INFO - run_lib.py - 2021-09-29 23:07:15,426 - step: 8650, training_loss: 1.94190e+03
INFO - run_lib.py - 2021-09-29 23:08:50,230 - step: 8700, training_loss: 2.91201e+03
INFO - run_lib.py - 2021-09-29 23:08:50,945 - step: 8700, eval_loss: 3.78438e+02
INFO - run_lib.py - 2021-09-29 23:10:15,463 - step: 8750, training_loss: 7.50115e+02
INFO - run_lib.py - 2021-09-29 23:11:39,306 - step: 8800, training_loss: 1.31256e+02
INFO - run_lib.py - 2021-09-29 23:11:39,998 - step: 8800, eval_loss: 2.14683e+03
INFO - run_lib.py - 2021-09-29 23:13:13,127 - step: 8850, training_loss: 1.97975e+03
INFO - run_lib.py - 2021-09-29 23:14:43,374 - step: 8900, training_loss: 3.13984e+03
INFO - run_lib.py - 2021-09-29 23:14:44,034 - step: 8900, eval_loss: 3.12013e+03
INFO - run_lib.py - 2021-09-29 23:16:13,811 - step: 8950, training_loss: 1.36464e+03
INFO - run_lib.py - 2021-09-29 23:17:44,431 - step: 9000, training_loss: 2.34495e+03
INFO - run_lib.py - 2021-09-29 23:17:45,084 - step: 9000, eval_loss: 1.87774e+03
INFO - run_lib.py - 2021-09-29 23:19:14,695 - step: 9050, training_loss: 1.68418e+03
INFO - run_lib.py - 2021-09-29 23:20:44,134 - step: 9100, training_loss: 2.11354e+03
INFO - run_lib.py - 2021-09-29 23:20:44,749 - step: 9100, eval_loss: 3.31948e+03
INFO - run_lib.py - 2021-09-29 23:22:15,772 - step: 9150, training_loss: 3.24496e+03
INFO - run_lib.py - 2021-09-29 23:23:45,080 - step: 9200, training_loss: 2.44862e+03
INFO - run_lib.py - 2021-09-29 23:23:45,763 - step: 9200, eval_loss: 1.69227e+03
INFO - run_lib.py - 2021-09-29 23:25:16,181 - step: 9250, training_loss: 1.47486e+03
INFO - run_lib.py - 2021-09-29 23:26:45,297 - step: 9300, training_loss: 1.22236e+03
INFO - run_lib.py - 2021-09-29 23:26:45,950 - step: 9300, eval_loss: 8.07893e+02
INFO - run_lib.py - 2021-09-29 23:28:16,233 - step: 9350, training_loss: 3.17184e+03
INFO - run_lib.py - 2021-09-29 23:29:46,779 - step: 9400, training_loss: 1.87458e+03
INFO - run_lib.py - 2021-09-29 23:29:47,438 - step: 9400, eval_loss: 1.72208e+03
INFO - run_lib.py - 2021-09-29 23:31:17,744 - step: 9450, training_loss: 1.50482e+03
